Hour;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
0 - 1;0;0;0;0;0;0;0;0;0;0;0;0
1 - 2;0;0;0;0;0;0;0;0;0;0;0;0
2 - 3;0;0;0;0;0;0;0;0;0;0;0;0
3 - 4;0;0;0;0;0;0;0;0;0;0;0;0
4 - 5;0;0;0;0;0;0;0;0;0;0;0;0
5 - 6;0;0;0;0;0;0;0;0;0;1;14;30
6 - 7;207;112;20;11;0;0;0;0;83;203;326;268
7 - 8;362;341;349;369;313;257;255;308;465;448;450;385
8 - 9;446;441;465;510;639;634;633;627;614;561;546;483
9 - 10;519;527;542;589;732;744;752;743;717;650;619;547
10 - 11;575;585;598;642;776;802;817;814;788;703;665;604
11 - 12;591;606;603;645;780;820;836;847;820;723;676;619
12 - 13;568;573;577;618;760;820;836;849;823;713;655;598
13 - 14;546;536;550;578;738;805;819;830;800;673;611;569
14 - 15;493;477;510;557;703;753;785;783;742;605;550;521
15 - 16;443;426;435;492;639;687;713;711;661;529;480;448
16 - 17;385;367;380;417;443;399;503;579;542;436;424;394
17 - 18;332;309;239;92;2;0;27;84;87;198;277;330
18 - 19;120;25;0;0;0;0;0;0;0;0;2;28
19 - 20;0;0;0;0;0;0;0;0;0;0;0;0
20 - 21;0;0;0;0;0;0;0;0;0;0;0;0
21 - 22;0;0;0;0;0;0;0;0;0;0;0;0
22 - 23;0;0;0;0;0;0;0;0;0;0;0;0
23 - 24;0;0;0;0;0;0;0;0;0;0;0;0
Sum;5587;5325;5268;5520;6525;6721;6976;7175;7142;6443;6295;5824
